"","X1","inspection_num","boro","grade","score","cuisine_description","violation_description","inspection_date"
"1",3511,3511,"Manhattan","B",15,"Asian","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2015-12-22
"2",150163,150163,"Brooklyn","A",9,"Italian","Wiping cloths soiled or not stored in sanitizing solution.",2016-12-09
"3",113313,113313,"Brooklyn","A",13,"Chinese","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-11-02
"4",41947,41947,"Manhattan","A",12,"Japanese","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2016-12-06
"5",55678,55678,"Manhattan","A",12,"Japanese","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-02-26
"6",184760,184764,"Queens","A",13,"Chicken","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-03-02
"7",68934,68934,"Manhattan","A",7,"Sandwiches","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2017-04-19
"8",17895,17895,"Manhattan","A",12,"Asian","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2015-08-04
"9",165550,165554,"Queens","A",13,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2016-01-22
"10",135446,135446,"Brooklyn","A",6,"Donuts","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-12-18
"11",168633,168637,"Queens","A",12,"American","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2014-06-15
"12",19818,19818,"Manhattan","A",12,"Italian","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-02-19
"13",145551,145551,"Brooklyn","A",13,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2017-08-01
"14",180314,180318,"Queens","A",11,"Indian","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2016-02-16
"15",131370,131370,"Brooklyn","A",9,"Chinese","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2016-03-31
"16",116397,116397,"Brooklyn","A",8,"Hamburgers","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2016-07-28
