"","inspection_num","boro","grade","score","cuisine_description","violation_description","inspection_date"
"1",17393,"Manhattan","A",5,"Italian","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2015-07-10
"2",165384,"Queens","A",13,"Chinese","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-05-03
"3",27468,"Manhattan","A",10,"Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-05-12
"4",183068,"Queens","A",10,"Chinese","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",2014-07-03
"5",137726,"Brooklyn","A",11,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-01-09
"6",95700,"Bronx","C",41,"Caribbean","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2016-11-02
"7",110254,"Brooklyn","A",11,"Chinese","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2017-03-07
"8",26742,"Manhattan","C",39,"Bakery","Hot food item not held at or above 140º F.",2016-08-17
"9",8589,"Manhattan","C",30,"Mexican","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-05-19
"10",102325,"Queens","A",9,"Donuts","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-11-09
"11",100180,"Queens","B",20,"Pizza","Evidence of mice or live mice present in facility's food and/or non-food areas.",2017-08-29
"12",139429,"Brooklyn","A",9,"Caribbean","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-05-14
"13",145836,"Brooklyn","A",12,"Russian","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2016-01-11
"14",52912,"Manhattan","A",10,"Thai","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-08-20
"15",9214,"Manhattan","B",23,"Mexican","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-05-02
"16",146796,"Brooklyn","A",13,"Caribbean","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2016-07-28
"17",62173,"Manhattan","A",9,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",2014-10-15
"18",154835,"Queens","B",14,"Bakery","Single service item reused, improperly stored, dispensed; not used when required.",2016-01-11
"19",62902,"Manhattan","B",17,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Evidence of mice or live mice present in facility's food and/or non-food areas.",2014-11-13
"20",135502,"Brooklyn","A",11,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-07-14
"21",15159,"Manhattan","A",12,"Soul Food","Evidence of rats or live rats present in facility's food and/or non-food areas.",2015-05-19
"22",51635,"Manhattan","A",12,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-10-27
"23",78982,"Staten Island","A",9,"Peruvian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-09-28
"24",21987,"Manhattan","A",12,"Café/Coffee/Tea","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2014-10-02
"25",46790,"Manhattan","A",2,"Salads","Food contact surface not properly maintained.",2017-06-28
"26",91980,"Bronx","C",33,"American","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2015-07-29
"27",176897,"Queens","A",7,"Caribbean","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",2016-05-15
